Prov.; Des.  ;   q   ;    Q     ; H     ;Epoch     ; M    ;Peri. ;Node   ;Incl. ; e     ; a      ;Opps.    ; Ref.      
2020;PC95   ;34.068;64.286; 9.96  ;20240331;  4.6 ; 141.7; 143.2 ;  4.6 ;307;49.177;(  2d)   ;MPO735645  
2020;PA7    ;8.635;30.291;13.20  ;20240331; 17.8 ;  18.3; 306.1 ;  9.3 ;556;19.463;4;MPO660717  
2020;MP53   ;11.261;55.944; 9.50  ;20240331;135.6 ;   7.7; 113.2 ; 21.0 ;665;33.602;( 52d)   ;MPO735634  
2020;MN53   ;31.676;39.306;10.94  ;20240331;160.4 ; 206.9; 281.9 ; 18.9 ;107;35.491;(  3d)   ;MPO735634  
2020;MM53   ;27.266;48.091;10.51  ;20240331;110.4 ; 354.1; 161.3 ;  2.1 ;276;37.678;( 54d)   ;MPO735634  
2020;MF53   ;29.609;63.074; 8.46  ;20240331;244.7 ; 153.7; 282.3 ; 27.1 ;361;46.342;(  5d)   ;MPO735633  
2020;LB21   ;16.327;76.100; 9.87  ;20240331;313.0 ; 288.3; 127.4 ;  6.9 ;647;46.213;( 73d)   ;MPO735628  
2020;LA21   ;27.404;160.289;10.05  ;20240331; 15.1 ;  53.1; 152.2 ;  3.5 ;708;93.847;( 24d)   ;MPO735628  
2020;KZ55   ;36.709;45.154; 8.84  ;20240331; 28.7 ; 339.3; 278.4 ; 17.1 ;103;40.932;( 77d)   ;E2024-E50  
2020;KZ53   ;35.360;86.786;10.36  ;20240331;348.8 ; 186.5; 137.4 ;  4.1 ;421;61.073;( 26d)   ;MPO735619  
2020;KY54   ;23.093;233.504;10.46  ;20240331;352.5 ; 240.9; 137.2 ;  4.2 ;0.820 1;28.298;( 26d)   ;MPO735622  
2020;KX55   ;35.454;98.100; 8.94  ;20240331;359.9 ; 138.2; 156.5 ;  2.7 ;469;66.777;2;MPO782711  
2020;KW55   ;26.096;155.098; 9.39  ;20240331; 14.6 ;  49.6; 156.8 ;  2.3 ;712;90.597;( 23d)   ;MPO735625  
2020;KV54   ;29.515;77.409;10.06  ;20240331;321.5 ; 245.5; 133.4 ;  4.8 ;448;53.462;( 25d)   ;MPO735622  
2020;KV11   ;35.917;153.465; 7.28  ;20240331; 30.8 ;  49.7; 135.1 ;  4.6 ;621;94.691;3;MPO740933  
2020;KT55   ;33.068;72.710; 8.94  ;20240331; 46.1 ;  79.9; 124.0 ;  5.4 ;375;52.889;( 28d)   ;MPO735625  
2020;KS55   ;37.041;82.682; 9.79  ;20240331; 28.2 ; 310.7; 279.3 ; 25.0 ;381;59.861;( 80d)   ;MPO735625  
2020;KS11   ;34.848;163.127; 9.13  ;20240331; 22.8 ;  26.7; 169.0 ;  2.7 ;648;98.988;3;MPO740933  
2020;KP55   ;30.093;65.579;10.13  ;20240331;343.0 ;  93.9; 238.1 ;  3.5 ;371;47.836;( 80d)   ;E2024-E50  
2020;KO54   ;27.333;49.998;11.66  ;20240331;340.9 ; 209.6; 122.3 ;  6.5 ;293;38.666;( 28d)   ;MPO735621  
2020;KN54   ;11.262;22.423;11.49  ;20240331;267.8 ; 153.1; 274.0 ;  9.5 ;331;16.843;( 78d)   ;MPO735621  
2020;KL55   ;23.363;314.013; 9.68  ;20240331;354.5 ; 232.5; 147.6 ;  2.5 ;0.862 1;68.688;( 75d)   ;MPO735624  
2020;KK60   ;33.808;96.367; 7.95  ;20240331; 14.9 ;   5.8; 241.9 ;  4.2 ;481;65.088;( 77d)   ;E2024-E73  
2020;KK55   ;33.838;119.523;11.36  ;20240331;358.7 ;  48.8; 251.3 ;  3.8 ;559;76.680;( 77d)   ;MPO735624  
2020;KJ55   ;31.467;82.619; 9.75  ;20240331; 41.7 ;   4.4; 193.7 ;  2.1 ;448;57.043;( 26d)   ;MPO735624  
2020;KH56   ;32.581;78.956;10.13  ;20240331; 20.7 ; 355.8; 247.2 ;  3.1 ;416;55.768;( 79d)   ;MPO735627  
2020;KH55   ;36.429;45.074; 9.26  ;20240331;144.9 ; 358.8; 140.3 ;  3.8 ;106;40.751;( 26d)   ;MPO735623  
2020;KH42   ;37.220;117.870; 7.66  ;20240331;337.2 ;  79.3; 281.1 ; 25.9 ;520;77.545;3;E2024-E50  
2020;KG56   ;31.807;63.300;10.97  ;20240331; 30.7 ;  31.6; 202.4 ;  2.3 ;331;47.554;( 76d)   ;MPO735627  
2020;KG54   ;32.217;123.269;10.79  ;20240331;  4.1 ; 162.7; 112.5 ; 22.5 ;586;77.743;2;E2024-E50  
